DataZone,DZName,LAName,SAPE2017,WAPE2017,Rankv2,Quintilev2,Decilev2,Vigintilv2,Percentv2,IncRate,IncNumDep,IncRankv2,EmpRate,EmpNumDep,EmpRank,HlthCIF,HlthAlcSR,HlthDrugSR,HlthSMR,HlthDprsPc,HlthLBWTPc,HlthEmergS,HlthRank,EduAttend,EduAttain,EduNoQuals,EduPartici,EduUniver,EduRank,GAccPetrol,GAccDTGP,GAccDTPost,GAccDTPsch,GAccDTSsch,GAccDTRet,GAccPTGP,GAccPTPost,GAccPTRet,GAccBrdbnd,GAccRank,CrimeCount,CrimeRate,CrimeRank,HouseNumOC,HouseNumNC,HouseOCrat,HouseNCrat,HouseRank,Shape_Leng,Shape_Area,,,,,
S01008458,The Calders - 05,City of Edinburgh,1033,689,3114,3,5,9,45,12%,127,2828,7%,51,3576,90,108,171,104,18%,4%,87,3272,80%,5,134,3%,3%,1713,2.39,2.31,2.29,2.94,1.99,2.99,10.16,7.65,9.89,0%,5145,25,245,2813,118,19,12%,2%,2522,3852.357528,280304.6187,,,,,
S01008459,Murrayburn and Wester Hailes North - 01,City of Edinburgh,783,538,437,1,1,2,7,28%,216,604,24%,128,330,195,253,338,120,20%,11%,141,681,71%,5.2,152,13%,2%,792,3.25,2.66,2.35,3.94,2.83,2.64,8,6.46,6.7,0%,5135,154,1967,39,122,34,16%,5%,1040,2848.92032,186125.1542,,,,,
S01008460,Murrayburn and Wester Hailes North - 02,City of Edinburgh,824,538,241,1,1,1,4,36%,300,152,23%,125,372,225,261,408,175,21%,10%,139,390,67%,4.68,196,6%,6%,509,3.82,3.52,2.87,3.56,2.99,3.35,9.57,7.92,9.69,0%,3550,77,934,248,172,2,21%,0%,965,1612.252021,65523.41535,,,,,
S01008461,Murrayburn and Wester Hailes North - 03,City of Edinburgh,940,619,322,1,1,1,5,31%,293,339,22%,138,453,200,142,204,156,21%,5%,129,818,63%,4.63,186,9%,2%,179,3.65,3.23,2.72,3.33,2.98,3.24,9.42,7.87,9.5,0%,3944,111,1185,133,167,14,18%,2%,1219,3182.429895,138851.2936,,,,,
S01008462,Murrayburn and Wester Hailes North - 04,City of Edinburgh,584,377,251,1,1,1,4,32%,187,303,30%,112,88,215,279,427,184,27%,0%,139,333,70%,4.93,188,2%,7%,976,3.82,3.58,3.33,2.78,2.95,3.44,10.73,8.83,9.8,0%,3392,20,347,1846,62,1,11%,0%,3317,2243.08281,121962.8993,,,,,
S01008463,Murrayburn and Wester Hailes North - 05,City of Edinburgh,673,478,335,1,1,1,5,31%,207,374,25%,116,292,190,120,435,177,24%,15%,130,656,69%,4.29,172,9%,5%,451,3.83,3.05,3.04,3.98,3.28,3.65,10.19,8.86,10.46,0%,3123,50,738,459,141,7,21%,1%,917,3314.542364,243734.2971,,,,,
S01008464,Parkhead and Sighthill - 01,City of Edinburgh,859,570,4354,4,7,13,63,8%,67,3983,4%,25,4892,60,57,46,66,16%,4%,76,4845,76%,5.09,119,1%,6%,2224,2.78,2.17,1.94,2.82,3.89,4.27,7.44,4.67,8.67,0%,5109,19,224,3045,137,34,16%,4%,1171,2156.223447,114827.1583,,,,,
S01008465,Parkhead and Sighthill - 02,City of Edinburgh,732,463,3796,3,6,11,55,9%,65,3682,5%,24,4495,75,28,39,99,18%,6%,83,4146,83%,5.53,115,0%,0%,2372,2.55,2.51,1.88,2.81,3.13,3.74,9.77,5.05,10.95,0%,5026,38,526,906,88,24,12%,3%,2139,1782.894586,115931.3787,,,,,
S01008466,Parkhead and Sighthill - 03,City of Edinburgh,715,493,3697,3,6,11,53,7%,52,4162,6%,28,4249,80,112,76,89,18%,6%,93,3562,76%,4.75,117,8%,6%,1580,1.96,2.42,2.11,1.62,2.71,4.03,9.85,6.47,11.54,0%,5236,24,340,1898,107,18,14%,2%,1730,1743.039454,102261.9755,,,,,
S01008467,Parkhead and Sighthill - 04,City of Edinburgh,806,508,3744,3,6,11,54,11%,85,3258,6%,28,4325,70,44,55,86,18%,6%,110,3820,78%,5.23,122,3%,5%,2100,2.14,2.59,2.52,2.07,2.21,3.4,11.79,8.59,12.36,0%,4489,17,214,3198,66,17,8%,2%,3511,1592.796063,85255.92996,,,,,
